,generation,avg_profit,avg_drawdown,num_trades,best
103,104,-9887.362975980006,37.643884217173124,-313.28,-53390.721810333125
104,105,-9909.690917009002,38.25970521687771,-319.41,-53390.721810333125
105,106,-9833.498052643648,36.974209726584824,-308.55,-53390.721810333125
106,107,-10111.154051845,37.45186952062392,-312.87,-53390.721810333125
107,108,-10109.209014755885,37.54061814409074,-308.27,-53390.721810333125
108,109,-10109.175684752356,37.50562178476403,-306.85,-53390.721810333125
109,110,-10629.148440307757,37.309521715332586,-301.19,-53390.721810333125
110,111,-11074.998951589814,37.335767223723245,-299.28,-53390.721810333125
111,112,-11530.42957181886,37.12260236051084,-286.75,-53390.721810333125
112,113,-11500.889386579027,37.02042592139916,-286.49,-53390.721810333125
113,114,-11787.78012160348,37.80263652661312,-291.97,-53390.721810333125
114,115,-11895.394767561043,36.388372519881294,-277.25,-53390.721810333125
115,116,-12105.553081937715,36.95349194538016,-282.79,-53390.721810333125
116,117,-12067.83858452244,36.72027854018231,-283.24,-53390.721810333125
117,118,-12058.623106544206,36.4680570897719,-283.19,-53390.721810333125
118,119,-12158.902889201207,36.689658183254316,-289.34,-53390.721810333125
119,120,-12227.963191194798,36.95548917859072,-292.61,-53390.721810333125
120,121,-10890.556030650183,36.611408451298395,-309.93,-53390.721810333125
121,122,-10948.993389835618,36.51760292681502,-306.45,-53390.721810333125
122,123,-11226.324288956412,36.015615620893804,-290.48,-53390.721810333125
123,124,-11807.01199449014,36.27650798195544,-297.04,-53390.721810333125
124,125,-12703.024098554568,35.783629435956215,-290.64,-53390.721810333125
125,126,-11986.738609563941,35.27006034057325,-293.63,-53390.721810333125
126,127,-12131.401953311723,36.45580679906587,-307.79,-53390.721810333125
127,128,-12288.516880584553,36.59847301172816,-314.26,-53390.721810333125
128,129,-12288.266764489987,36.29285179954203,-310.55,-53390.721810333125
129,130,-12467.462505753241,36.760668781052374,-314.61,-53390.721810333125
130,131,-12464.064794208158,36.794967606977,-308.1,-53390.721810333125
131,132,-12160.090583049412,36.00619269281066,-310.13,-53390.721810333125
132,133,-12159.87633723049,36.02957924080433,-310.27,-53390.721810333125
133,134,-12241.143929306278,36.2229844310315,-308.07,-53390.721810333125
134,135,-11726.255608966181,35.46226085165698,-317.44,-53390.721810333125
135,136,-11775.832773287166,35.12641281775688,-315.16,-53390.721810333125
136,137,-11645.417464750157,35.32999972216719,-317.91,-53390.721810333125
137,138,-11646.52055526574,35.51406367943453,-320.31,-53390.721810333125
138,139,-11706.027404663306,35.559444863834,-317.5,-53390.721810333125
139,140,-11507.261567234335,35.514925307783614,-322.21,-53390.721810333125
140,141,-11464.206069766527,35.54598665566296,-328.38,-53390.721810333125
141,142,-11464.206069766527,35.54598665566296,-328.38,-53390.721810333125
142,143,-11807.828826912424,35.59401473738979,-323.48,-53390.721810333125
143,144,-11721.023739522807,35.44674951500394,-323.18,-53390.721810333125
144,145,-11557.542234597866,34.63572255538863,-326.44,-53390.721810333125
145,146,-11655.530035133621,35.13436215745803,-329.99,-53390.721810333125
146,147,-12056.713968131231,35.15299310576345,-326.8,-53390.721810333125
147,148,-9458.701316576165,34.53106447945597,-343.63,-57371.90138027561
148,149,-9825.191081234776,35.00008318176455,-335.87,-57371.90138027561
149,150,-9548.843068407348,33.3090761350777,-328.08,-57371.90138027561
150,151,-9496.334309721957,32.98144262132447,-332.68,-57371.90138027561
151,152,-9452.811632370955,32.66530131998316,-337.39,-57371.90138027561
152,153,-9401.689985864978,31.831513579222214,-319.65,-57371.90138027561
153,154,-9499.527624973094,32.04790619995222,-330.92,-57371.90138027561
154,155,-9293.64454027771,31.78536449811288,-328.63,-57371.90138027561
155,156,-9668.208365618877,31.40746783211411,-315.71,-57371.90138027561
156,157,-9885.990277170122,30.874059794195915,-319.93,-64045.27248519695
157,158,-10604.40452841113,31.040565617592424,-308.51,-64045.27248519695
158,159,-10141.5612260617,29.677117422820537,-305.34,-64045.27248519695
159,160,-9489.560012600361,29.465662338996367,-312.77,-64045.27248519695
160,161,-9532.700327871853,29.809476260521052,-310.53,-64045.27248519695
161,162,-9794.392815095489,29.802933946812672,-325.71,-64045.27248519695
162,163,-10285.022783501781,29.48294664800621,-311.48,-64045.27248519695
163,164,-10349.447393993474,29.33683500239949,-314.67,-64045.27248519695
164,165,-10266.972103276083,28.768916780023638,-306.97,-64045.27248519695
